time,open,high,low,close,MHULL,SHULL
1513814400,16000.000003,17200,13501,14500,18033.176828996908,17334.53587887176
1513900800,15015.015,15015.015,11500.000001,13700,18188.985072929496,17744.408829214928
1513987200,13700,15389,12607.000005,13802.183723,18232.922675202437,18033.176828996908
1514073600,14799.999999,14800,12000.000085,13200.000001,18172.652249726452,18188.985072929496
1514160000,13200.000004,14994,13000,13100,18031.143319499875,18232.922675202437
1514246400,13100,16434.54886,13011,15699.999999,17901.778360738233,18172.652249726452
1514332800,14464.363296,16300,14000,15898.989989,17796.079667696085,18031.143319499875
1514419200,15900,15900,11998,13250,17642.066977124585,17901.778360738233
1514505600,13250,15000,13100,14664.999996,17485.05347963591,17796.079667696085
1514592000,14250.000001,14599.999999,11249.999999,12360.000005,17260.7717934738,17642.066977124585
1514678400,12360.000007,13999.999,12200,12933.000002,16993.166133127525,17485.05347963591
1514764800,12933.000001,14150,12500,13586.89,16703.644588759806,17260.7717934738
1514851200,13586.89,15650,13000,14100,16406.113244049156,16993.166133127525
1514937600,14050,15980,13480.000002,15380.011104,16144.827970992501,16703.644588759806
1515024000,15131.011108,15450.000003,14000.1,15194.999997,15921.949110326877,16406.113244049156
1515110400,15194.999997,17350,14501,17266.663939,15788.95842473889,16144.827970992501
1515196800,16975,17390,15705,16850.000001,15723.858192880698,15921.949110326877
1515283200,16850,17000,15613.966099,16203.463017,15691.831802104558,15788.95842473889
1515369600,16203.463017,16347.999998,12001,15091.91025,15652.310635427933,15723.858192880698
1515456000,15077.7186,15850,13700,14628.930609,15589.577235953098,15691.831802104558
1515542400,14628.930609,15335,12751.279248,14680.000001,15503.841887150442,15652.310635427933
1515628800,14685.000001,14998.271076,9502,13000.000001,15353.99715639246,15589.577235953098
1515715200,13001,14167.1004,12400,13650,15170.699540588737,15503.841887150442
1515801600,13700,14900,13607,14010.035711,14982.960856488573,15353.99715639246
1515888000,14010.03571,14399.882802,11500.616338,13149.999999,14782.209588546673,15170.699540588737
1515974400,13144.999999,14499,12850,13448.998995,14591.048747899706,14982.960856488573
1516060800,13475,13524.886221,9554,11100.000002,14353.644962298842,14782.209588546673
1516147200,11100.000002,11889.999998,8600,10910.910914,14079.512641007259,14591.048747899706
1516233600,10910.910914,11911.000568,10200.000002,10900,13781.610175290762,14353.644962298842
1516320000,10900,11800,10500,11395,13478.653266261206,14079.512641007259
1516406400,11395,13100,11300.001473,12868,13216.018642761735,13781.610175290762
1516492800,12727.727732,12870.210946,10800.0004,11361.896042,12952.990368301313,13478.653266261206
1516579200,11361.896044,11999.999999,9841.359062,10797.876047,12678.950128679464,13216.018642761735
1516665600,10757.651804,11400,9939.000002,10878.000004,12408.5856115388,12952.990368301313
1516752000,10828,11600,10500.000011,11399.99,12159.272624031608,12678.950128679464
1516838400,11399.578999,11770.61334,10799.999998,11122,11920.105916616054,12408.5856115388
1516924800,11149.999997,11685.488629,10159.999398,11097.000002,11690.41508433959,12159.272624031608
1517011200,11097.000004,11700,10875,11600.003008,11482.451845422915,11920.105916616054
1517097600,11600.003008,12400,11462.000401,11896.999995,11307.178837529575,11690.41508433959
1517184000,11896.999995,12055.954339,11150,11257.999996,11143.872353086326,11482.451845422915
1517270400,11257.999996,11342.999998,9900,10288.448678,10964.662934053316,11307.178837529575
1517356800,10200.000003,10439.999987,9775,10233,10773.096801210737,11143.872353086326
1517443200,10233,10449.888887,8753.804313,9232.001175,10549.049693665293,10964.662934053316
1517529600,9289.870332,9390.283108,7863.304872,8849.999994,10295.325961267905,10773.096801210737
1517616000,8859.999995,9498.999721,8201.999,9199.999443,10035.062753869608,10549.049693665293
1517702400,9107.736677,9409.999999,7800,8117.000002,9751.168916263285,10295.325961267905
1517788800,8210.697671,8379.999999,6470.000001,6950.001,9428.274054100697,10035.062753869608
1517875200,6971.52,7930,5950,7676.000008,9103.693239047094,9751.168916263285
1517961600,7676.000008,8510.999998,7100.7,7544.998998,8783.982106338128,9428.274054100697
1518048000,7546,8634,7512.001722,8285.396547,8496.903021308002,9103.693239047094
1518134400,8285.396547,8750,7749.999998,8650.000002,8253.238564968442,8783.982106338128
1518220800,8650.000002,9096.999996,8055,8560,8049.101022161869,8496.903021308002
1518307200,8560,8560,7802.5,8023.998984,7869.926393073394,8253.238564968442
1518393600,8001,8989,8001,8919.999998,7739.045408459066,8049.101022161869
1518480000,8919.999996,8970,8350,8527,7633.679027490812,7869.926393073394
1518566400,8527,9495.998579,8527,9469,7572.558956133874,7739.045408459066
1518652800,9469,10230,9301,10003.000003,7559.366779789044,7633.679027490812
1518739200,10003,10298.084991,9675.555557,10159,7589.294944220834,7572.558956133874
1518825600,10159,11090.001094,10008.970441,11030.000765,7679.864656963876,7559.366779789044
1518912000,11032.99939,11268,9999,10390.220268,7801.897607058957,7589.294944220834
1518998400,10390.220268,11312.535142,10300,11136.5655,7964.375668838778,7679.864656963876
1519084800,11136.5655,11799.999998,11111,11177,8157.538121100134,7801.897607058957
1519171200,11177,11299,10120.5265,10411.634778,8349.36240281178,7964.375668838778
1519257600,10411.634043,10895,9629.292929,9772.111501,8519.0272983454,8157.538121100134
1519344000,9772.1115,10450,9555,10151.036292,8678.04663353854,8349.36240281178
1519430400,10151.036292,10500,9345.295935,9679.943842,8814.953129074825,8519.0272983454
1519516800,9679.943544,9849.999728,9300,9629.998582,8935.747130900441,8678.04663353854
1519603200,9629.998579,10463.169999,9333.000308,10290,9061.963848181354,8814.953129074825
1519689600,10315.000001,10924,10105,10589,9203.465879377341,8935.747130900441
1519776000,10572.000001,11110,10290.00002,10299.999999,9352.682272094227,9061.963848181354
1519862400,10299.999999,11079.999293,10250,10899.999998,9523.184078353257,9203.465879377341
1519948800,10904.534084,11199,10785.682606,11078.999997,9711.368384096584,9352.682272094227
1520035200,11022,11598.99,11022,11467.279381,9920.9977923546,9523.184078353257
1520121600,11475.71358,11556,11063,11511.000093,10142.250572150557,9711.368384096584
1520208000,11511.000093,11745.007056,11416.081731,11496.356959,10363.055746771503,9920.9977923546
1520294400,11496.356959,11496.356959,10544.900002,10725,10555.868016308703,10142.250572150557
1520380800,10720,10903.300675,9345,9850.001445,10695.881149592797,10363.055746771503
1520467200,9850.00145,10095.272645,9050,9299.999997,10772.018233751161,10555.868016308703
1520553600,9279.998217,9395.230226,8311,9245.168678,10791.934719078326,10695.881149592797
1520640000,9240.120552,9573.888868,8640.000777,8760,10752.228738144371,10772.018233751161
1520726400,8759,9726.43048,8458.623052,9500.000002,10685.402408838534,10791.934719078326
1520812800,9528,9898,8783,9128.912031,10591.30813754349,10752.228738144371
1520899200,9100.000591,9450,8850,9188.7,10482.2519718141,10685.402408838534
1520985600,9187.859797,9320.780537,7910,8204.083065,10339.956667710603,10591.30813754349
1521072000,8177.863995,8426.676463,7650,8240.999363,10175.071965312653,10482.2519718141
1521158400,8241,8619.999999,7900,8280.244614,9995.501165743994,10339.956667710603
1521244800,8270.244614,8350,7695,7871.999999,9797.155703444108,10175.071965312653
1521331200,7845.137492,8321.613474,7302,8170,9593.7887004169,9995.501165743994
1521417600,8179,8750,8065,8599,9404.450714692115,9797.155703444108
1521504000,8550,9020,8280,8878,9239.954733060675,9593.7887004169
1521590400,8900,9181,8714.000003,8909.970172,9101.643418877324,9404.450714692115
1521676800,8905,9091.689571,8461,8690.969278,8979.190805910383,9239.954733060675
1521763200,8680,8900,8300,8900,8875.640544246955,9101.643418877324
1521849600,8899.999835,9000,8540,8540,8777.266530679264,8979.190805910383
1521936000,8540,8670,8405,8451.200001,8678.054253711032,8875.640544246955
1522022400,8477.000003,8569.999702,7802,8123.6701,8568.421350342987,8777.266530679264
1522108800,8123.6701,8254.999209,7705,7774.354431,8442.24701961293,8678.054253711032
1522195200,7776.17658,8120,7723.6717,7935,8309.525124393738,8568.421350342987
1522281600,7935,7970,6922,7079.862,8153.1294702215955,8442.24701961293
1522368000,7099.999997,7295,6620,6854.1309,7976.099687516365,8309.525124393738
1522454400,6845.016133,7209.999998,6762.88832,6926,7791.334649212905,8153.1294702215955
1522540800,6932.0581,7044.93833,6412.000001,6802.10862,7604.25477670368,7976.099687516365
1522627200,6802.10862,7117,6762,7050,7429.9764172900095,7791.334649212905
1522713600,7044.000003,7517,7000.551829,7429,7282.898820925316,7604.25477670368
1522800000,7428,7449.999231,6690.980636,6770,7144.99053742165,7429.9764172900095
1522886400,6797.467799,6907.846083,6545.166405,6784.25816,7019.272664701806,7282.898820925316
1522972800,6776.358164,6838,6510,6556.821972,6898.904575856649,7144.99053742165
1523059200,6556.821856,7093.333446,6556.821856,6880,6791.730424064069,7019.272664701806
1523145600,6863,7100,6848.51,7000,6700.328732956172,6898.904575856649
1523232000,6999.99,7199,6620,6767.883158,6616.507730959494,6791.730424064069
1523318400,6772.93698,6911.564621,6666.000001,6840,6542.999618605491,6700.328732956172
1523404800,6840,6995,6781,6965.178929,6483.8564636074825,6616.507730959494
1523491200,6965.178929,7986,6752.906434,7933.915324,6462.799820970453,6542.999618605491
1523577600,7933.915324,8234.130556,7718,7863.1921,6471.230991308631,6483.8564636074825
1523664000,7900.6197,8172.287263,7796.002588,7950.100306,6503.982458875832,6462.799820970453
1523750400,7995,8400,7995,8320.026456,6565.210474181446,6471.230991308631
1523836800,8335.026456,8414.999407,7863.74599,8080,6642.277546616461,6503.982458875832
1523923200,8046.03069,8223.795278,7851,7877.77787,6724.6004457584395,6565.210474181446
1524009600,7889.92335,8223.7952,7882.66556,8160,6816.3607724124695,6642.277546616461
1524096000,8164.999999,8320,8109.23,8287.041,6916.529709024738,6724.6004457584395
1524182400,8287.045322,8883.999999,8169.988,8834.684098,7038.740587290798,6816.3607724124695
